"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","concept","coordinates","correct","correct_wait_4_first_volume","count_blink_trial","count_blink_trial_seq","count_experiment_seq","count_experiment_stimuli","count_images_presentation","count_img_presentation","count_last_logging","count_logging","count_new_img","count_post_hrf_fixation","count_shuffle_images","count_start_experiment_interval","count_start_fixation","count_time_run_end_time","count_time_run_start_time","count_time_start_wait_4_hrf","count_time_trial_offset","count_time_trial_onset","count_type_run","count_wait_1","count_wait_4_first_volume","count_wait_4_fmri","count_wait_4_hrf","datetime","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","gaussian_idxs","height","keyboard_backend","live_row","live_row_blink_trial","live_row_experiment_stimuli","living_idxs","logfile","mouse_backend","new_img","non_living_idxs","opensesame_codename","opensesame_version","patterns_idxs","repeat_cycle","response","response_time","response_time_wait_4_first_volume","response_wait_4_first_volume","round_decimals","run_end_time","run_start_time","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","start_wait_4_hrf","subject_nr","subject_parity","time_blink_trial","time_blink_trial_seq","time_experiment_seq","time_experiment_stimuli","time_images_presentation","time_img_presentation","time_last_logging","time_logging","time_new_img","time_post_hrf_fixation","time_shuffle_images","time_start_experiment_interval","time_start_fixation","time_time_run_end_time","time_time_run_start_time","time_time_start_wait_4_hrf","time_time_trial_offset","time_time_trial_onset","time_type_run","time_wait_1","time_wait_4_first_volume","time_wait_4_fmri","time_wait_4_hrf","title","total_correct","total_response_time","total_responses","trial_offset","trial_onset","type_run","uniform_coordinates","width"
"undefined","undefined","16180","16180","black","legacy","legacy","legacy","0","living","uniform","undefined","undefined","0","11","0","0","0","11","0","0","11","0","0","0","0","0","0","0","0","0","0","11","0","0","0","Mon May 30 13:15:23 2022","The main experiment item","yes","",".opensesamerun-tmp.osexp","C:\Users\Experimental user\Desktop\pilot_patxi_marta\perception","no","mono","no","18","no","white","no","yes","[31, 4, 49, 8, 5, 56, 59, 1, 35, 58, 22, 19, 45, 43, 51, 17, 16, 44, 25, 37, 55, 14, 13, 21, 40, 46, 2, 41, 10, 52, 23, 50, 34, 20, 47, 33, 24, 0, 26, 42, 29, 18, 27, 48, 30, 28, 3, 38, 9, 57, 39, 53, 6, 36, 7, 12, 32, 15, 54, 11]","768","legacy","11","11","0","[]","C:/Users/Experimental user/Desktop/pilot_patxi_marta/perception/run_2.csv","legacy","dog_9.jpg","['scissors_2', 'scissors_9', 'scissors_8', 'scissors_10', 'scissors_6', 'scissors_11', 'scissors_3', 'scissors_4', 'scissors_7', 'scissors_1', 'scissors_12', 'scissors_5']","Lentiform Loewenfeld","3.3.9","[29, 3, 33, 42, 22, 38, 18, 48, 49, 40, 10, 57, 16, 43, 28, 50, 5, 25, 41, 55, 20, 51, 32, 31, 23, 44, 45, 15, 17, 24, 4, 54, 14, 36, 27, 1, 21, 0, 58, 52, 7, 26, 8, 59, 47, 30, 35, 2, 37, 34, 9, 19, 53, 11, 6, 39, 13, 12, 46, 56]","0","s","16180","16180","s","2","NA","17510","legacy","1024","2","48000","-16","images_presentation","23969","0","even","29027","40451","29026","29012","1326","40452","NA","51481","40451","49981","29027","17511","27512","NA","17510","41479","51481","29027","1327","41203","1329","1328","41480","images_presentation","0","16180","1","33971","11517","images_presentation","yes","1024"
"undefined","undefined","16180","16180","black","legacy","legacy","legacy","0","gaussian","uniform","undefined","undefined","1","23","1","0","0","23","0","1","23","1","1","0","0","0","0","1","1","1","0","23","0","0","1","Mon May 30 13:15:23 2022","The main experiment item","yes","",".opensesamerun-tmp.osexp","C:\Users\Experimental user\Desktop\pilot_patxi_marta\perception","no","mono","no","18","no","white","no","yes","[17, 33, 3, 49, 2, 14, 46, 39, 21, 44, 58, 42, 41, 27, 32, 18, 10, 11, 9, 34, 5, 50, 22, 15, 8, 51, 45, 36, 52, 0, 6, 48, 7, 13, 43, 4, 30, 26, 1, 24, 53, 37, 12, 28, 23, 20, 57, 56]","768","legacy","11","11","1","['dog_2', 'dog_8', 'dog_10', 'dog_1', 'dog_4', 'dog_11', 'dog_12', 'dog_5', 'dog_6', 'dog_9', 'dog_7', 'dog_3']","C:/Users/Experimental user/Desktop/pilot_patxi_marta/perception/run_2.csv","legacy","gaussian_54.jpg","['scissors_10', 'scissors_4', 'scissors_12', 'scissors_3', 'scissors_5', 'scissors_1', 'scissors_9', 'scissors_7', 'scissors_11', 'scissors_2', 'scissors_6', 'scissors_8']","Lentiform Loewenfeld","3.3.9","[50, 37, 47, 9, 38, 21, 12, 27, 35, 18, 46, 1, 5, 40, 2, 45, 49, 39, 16, 6, 29, 7, 8, 24, 30, 28, 19, 14, 31, 44, 36, 42, 15, 13, 20, 23, 41, 54, 53, 33, 32, 0, 26, 48, 10, 59, 4, 57, 51, 58, 56, 3, 25, 11, 17, 55, 52, 43, 22, 34]","0","s","16180","16180","s","2","NA","17510","legacy","1024","2","48000","-16","images_presentation","46518","0","even","51572","63011","51572","29012","1326","63013","NA","74030","63011","72530","51572","17511","27512","NA","17510","64028","74030","51572","1327","63764","1329","1328","64029","images_presentation","0","16180","1","56520","34062","images_presentation","yes","1024"
"undefined","undefined","16180","16180","black","legacy","legacy","legacy","0","non_living","uniform","undefined","undefined","2","35","2","0","0","35","0","2","35","2","2","0","0","0","0","2","2","2","0","35","0","0","2","Mon May 30 13:15:23 2022","The main experiment item","yes","",".opensesamerun-tmp.osexp","C:\Users\Experimental user\Desktop\pilot_patxi_marta\perception","no","mono","no","18","no","white","no","yes","[35, 32, 29, 22, 38, 21, 12, 59, 36, 11, 47, 16, 13, 14, 49, 4, 53, 56, 31, 15, 39, 10, 5, 43, 3, 55, 52, 30, 9, 8, 18, 58, 44, 2, 45, 23, 28, 46, 26, 0, 19, 40, 51, 57, 42, 37, 54, 48, 20, 17, 33, 24, 50, 27, 1, 7, 34, 6, 25, 41]","768","legacy","11","11","2","['dog_5', 'dog_8', 'dog_4', 'dog_11', 'dog_12', 'dog_9', 'dog_6', 'dog_10', 'dog_1', 'dog_2', 'dog_7', 'dog_3']","C:/Users/Experimental user/Desktop/pilot_patxi_marta/perception/run_2.csv","legacy","scissors_5.jpg","[]","Lentiform Loewenfeld","3.3.9","[29, 28, 34, 47, 44, 50, 12, 38, 53, 46, 51, 55, 13, 26, 56, 17, 41, 1, 52, 37, 59, 4, 18, 54, 30, 40, 42, 45, 43, 9, 35, 0, 8, 33, 10, 20, 58, 16, 27, 36, 48, 3, 31, 5, 2, 11, 22, 25, 7, 39, 21, 23, 32, 19, 49, 15, 57, 14, 24, 6]","0","s","16180","16180","s","2","NA","17510","legacy","1024","2","48000","-16","images_presentation","69052","0","even","74111","85545","74110","29012","1326","85546","NA","96564","85545","95064","74111","17511","27512","NA","17510","86562","96564","74111","1327","86298","1329","1328","86563","images_presentation","0","16180","1","79054","56601","images_presentation","yes","1024"
"undefined","undefined","16180","16180","black","legacy","legacy","legacy","0","non_living","uniform","undefined","undefined","3","47","3","0","0","47","0","3","47","3","3","0","0","0","0","3","3","3","0","47","0","0","3","Mon May 30 13:15:23 2022","The main experiment item","yes","",".opensesamerun-tmp.osexp","C:\Users\Experimental user\Desktop\pilot_patxi_marta\perception","no","mono","no","18","no","white","no","yes","[20, 56, 42, 49, 18, 1, 37, 17, 22, 46, 59, 26, 51, 40, 11, 52, 9, 30, 33, 38, 36, 25, 31, 39, 45, 55, 4, 44, 7, 10, 15, 13, 21, 5, 12, 2, 27, 53, 47, 34, 28, 29, 3, 50, 54, 35, 32, 0, 24, 19, 8, 14, 43, 23, 16, 58, 6, 41, 48, 57]","768","legacy","11","11","3","['dog_6', 'dog_1', 'dog_4', 'dog_12', 'dog_7', 'dog_10', 'dog_11', 'dog_3', 'dog_9', 'dog_8', 'dog_2', 'dog_5']","C:/Users/Experimental user/Desktop/pilot_patxi_marta/perception/run_2.csv","legacy","scissors_9.jpg","[]","Lentiform Loewenfeld","3.3.9","[2, 22, 40, 54, 25, 42, 13, 46, 44, 31, 18, 50, 14, 38, 49, 35, 56, 30, 58, 59, 57, 52, 9, 12, 34, 43, 15, 47, 28, 23, 21, 24, 29, 11, 27, 10, 7, 5, 1, 16, 6, 55, 17, 48, 41, 37, 51, 53, 19, 45, 39, 0, 20, 4, 33, 3, 36, 32, 26, 8]","0","s","16180","16180","s","2","NA","17510","legacy","1024","2","48000","-16","images_presentation","91505","0","even","96603","107999","96603","29012","1326","108000","NA","119019","107999","117519","96603","17511","27512","NA","17510","109015","119019","96603","1327","108751","1329","1328","109015","images_presentation","0","16180","1","101509","79093","images_presentation","yes","1024"
"undefined","undefined","16180","16180","black","legacy","legacy","legacy","0","living","uniform","undefined","undefined","4","59","4","0","0","59","0","4","59","4","4","0","0","0","0","4","4","4","0","59","0","0","4","Mon May 30 13:15:23 2022","The main experiment item","yes","",".opensesamerun-tmp.osexp","C:\Users\Experimental user\Desktop\pilot_patxi_marta\perception","no","mono","no","18","no","white","no","yes","[36, 24, 21, 26, 13, 44, 43, 16, 2, 15, 20, 31, 9, 48, 12, 54, 49, 55, 10, 3, 14, 1, 34, 8, 28, 5, 57, 47, 37, 40, 11, 19, 46, 25, 52, 53, 39, 30, 6, 27, 41, 23, 58, 59, 0, 45, 17, 4, 32, 42, 18, 7, 38, 29, 22, 51, 56, 35, 33, 50]","768","legacy","11","11","4","[]","C:/Users/Experimental user/Desktop/pilot_patxi_marta/perception/run_2.csv","legacy","dog_9.jpg","['scissors_10', 'scissors_3', 'scissors_9', 'scissors_1', 'scissors_5', 'scissors_6', 'scissors_2', 'scissors_8', 'scissors_11', 'scissors_7', 'scissors_12', 'scissors_4']","Lentiform Loewenfeld","3.3.9","[27, 29, 42, 48, 57, 18, 31, 3, 16, 44, 43, 17, 58, 4, 9, 28, 32, 14, 39, 12, 40, 15, 38, 2, 52, 22, 26, 21, 53, 30, 37, 51, 49, 54, 1, 7, 8, 36, 11, 20, 56, 19, 45, 13, 10, 5, 6, 0, 24, 33, 59, 50, 46, 34, 35, 25, 41, 55, 47, 23]","0","s","16180","16180","s","2","NA","17510","legacy","1024","2","48000","-16","images_presentation","113942","0","even","119061","130436","119060","29012","1326","130438","NA","141456","130436","139956","119061","17511","27512","NA","17510","131452","141456","119061","1327","131189","1329","1328","131454","images_presentation","0","16180","1","123946","101551","images_presentation","yes","1024"
"undefined","undefined","16180","16180","black","legacy","legacy","legacy","0","gaussian","uniform","undefined","undefined","5","71","5","0","0","71","0","5","71","5","5","0","0","0","0","5","5","5","0","71","0","0","5","Mon May 30 13:15:23 2022","The main experiment item","yes","",".opensesamerun-tmp.osexp","C:\Users\Experimental user\Desktop\pilot_patxi_marta\perception","no","mono","no","18","no","white","no","yes","[38, 31, 55, 44, 18, 48, 0, 21, 15, 30, 50, 27, 54, 16, 56, 13, 35, 41, 28, 11, 29, 26, 2, 25, 12, 24, 7, 59, 57, 49, 19, 45, 4, 42, 22, 58, 9, 10, 51, 8, 37, 34, 36, 40, 14, 47, 1, 46]","768","legacy","11","11","5","['dog_10', 'dog_4', 'dog_9', 'dog_2', 'dog_12', 'dog_3', 'dog_5', 'dog_8', 'dog_6', 'dog_7', 'dog_11', 'dog_1']","C:/Users/Experimental user/Desktop/pilot_patxi_marta/perception/run_2.csv","legacy","gaussian_33.jpg","['scissors_4', 'scissors_7', 'scissors_3', 'scissors_8', 'scissors_10', 'scissors_12', 'scissors_6', 'scissors_11', 'scissors_1', 'scissors_2', 'scissors_9', 'scissors_5']","Lentiform Loewenfeld","3.3.9","[35, 28, 11, 48, 8, 52, 32, 40, 37, 26, 22, 23, 54, 42, 19, 38, 55, 6, 44, 36, 10, 21, 3, 13, 50, 41, 2, 51, 33, 18, 29, 46, 49, 58, 5, 43, 0, 34, 12, 45, 31, 4, 47, 14, 25, 27, 30, 7, 15, 17, 57, 24, 39, 9, 20, 53, 1, 56, 16, 59]","0","s","16180","16180","s","2","NA","17510","legacy","1024","2","48000","-16","images_presentation","136427","0","even","141485","152921","141484","29012","1326","152922","NA","163942","152921","162442","141485","17511","27512","NA","17510","153937","163942","141485","1327","153673","1329","1328","153938","images_presentation","0","16180","1","146432","123975","images_presentation","yes","1024"
"undefined","undefined","16180","16180","black","legacy","legacy","legacy","0","non_living","uniform","undefined","undefined","6","83","6","0","0","83","0","6","83","6","6","0","0","0","0","6","6","6","0","83","0","0","6","Mon May 30 13:15:23 2022","The main experiment item","yes","",".opensesamerun-tmp.osexp","C:\Users\Experimental user\Desktop\pilot_patxi_marta\perception","no","mono","no","18","no","white","no","yes","[51, 58, 57, 22, 34, 49, 19, 28, 52, 39, 37, 54, 11, 56, 15, 38, 50, 23, 13, 53, 27, 40, 41, 7, 9, 47, 32, 33, 31, 44, 14, 18, 59, 6, 25, 42, 29, 20, 10, 0, 48, 30, 55, 5, 8, 43, 17, 35, 16, 46, 26, 3, 24, 21, 45, 2, 1, 36, 4, 12]","768","legacy","11","11","6","['dog_4', 'dog_2', 'dog_9', 'dog_1', 'dog_12', 'dog_3', 'dog_11', 'dog_7', 'dog_8', 'dog_5', 'dog_6', 'dog_10']","C:/Users/Experimental user/Desktop/pilot_patxi_marta/perception/run_2.csv","legacy","scissors_5.jpg","[]","Lentiform Loewenfeld","3.3.9","[54, 36, 33, 8, 35, 57, 28, 41, 37, 2, 4, 15, 19, 27, 18, 0, 53, 40, 16, 25, 23, 9, 29, 26, 13, 42, 5, 7, 21, 17, 50, 6, 48, 44, 59, 10, 34, 3, 55, 32, 1, 30, 20, 47, 45, 31, 52, 51, 43, 12, 38, 11, 22, 58, 39, 49, 46, 24, 56, 14]","0","s","16180","16180","s","2","NA","17510","legacy","1024","2","48000","-16","images_presentation","158903","0","even","164019","175397","164019","29012","1326","175398","NA","186414","175397","184914","164019","17511","27512","NA","17510","176413","186414","164019","1327","176149","1329","1328","176414","images_presentation","0","16180","1","168904","146509","images_presentation","yes","1024"
"undefined","undefined","16180","16180","black","legacy","legacy","legacy","0","gaussian","uniform","undefined","undefined","7","95","7","0","0","95","0","7","95","7","7","0","0","0","0","7","7","7","0","95","0","0","7","Mon May 30 13:15:23 2022","The main experiment item","yes","",".opensesamerun-tmp.osexp","C:\Users\Experimental user\Desktop\pilot_patxi_marta\perception","no","mono","no","18","no","white","no","yes","[16, 48, 33, 55, 8, 29, 10, 47, 49, 17, 4, 15, 39, 52, 25, 14, 37, 19, 6, 12, 22, 58, 24, 11, 3, 0, 18, 1, 34, 26, 32, 31, 21, 2, 45, 28, 43, 56, 38, 40, 9, 57, 53, 35, 23, 51, 20, 13]","768","legacy","11","11","7","['dog_9', 'dog_5', 'dog_10', 'dog_1', 'dog_7', 'dog_3', 'dog_2', 'dog_11', 'dog_12', 'dog_6', 'dog_8', 'dog_4']","C:/Users/Experimental user/Desktop/pilot_patxi_marta/perception/run_2.csv","legacy","gaussian_42.jpg","['scissors_7', 'scissors_8', 'scissors_11', 'scissors_6', 'scissors_3', 'scissors_12', 'scissors_10', 'scissors_4', 'scissors_2', 'scissors_5', 'scissors_1', 'scissors_9']","Lentiform Loewenfeld","3.3.9","[20, 4, 25, 44, 31, 38, 21, 34, 54, 13, 53, 39, 6, 14, 9, 23, 55, 26, 24, 0, 2, 29, 58, 17, 43, 3, 50, 22, 37, 41, 48, 15, 10, 1, 8, 40, 45, 35, 36, 51, 7, 11, 49, 33, 59, 30, 16, 12, 57, 19, 18, 52, 28, 42, 46, 27, 56, 47, 5, 32]","0","s","16180","16180","s","2","NA","17510","legacy","1024","2","48000","-16","images_presentation","181426","0","even","186491","197919","186491","29012","1326","197921","NA","208939","197919","207438","186491","17511","27512","NA","17510","198936","208939","186491","1327","198672","1329","1328","198937","images_presentation","0","16180","1","191429","168981","images_presentation","yes","1024"
